Index;Site;Point;LatitudeDegree;Latitude Minute;LongitudeDegree;Longitude Minute;Day;Month;Year;Time;Flux;Error;AirT;SoilT1;DepthT1;SoilT2;DepthT2;SoilT3;DepthT3;SoilT4;DepthT4;WTL
335;Sw_1;Sw_1_3;55;33,97667;36;21,41833;30;8;2021;11:20:00;0,006;0,004;18,5;17;0;16;5;14,8;15;14,5;45;35
336;Sw_1;Sw_1_3;55;33,97667;36;21,41833;30;8;2021;12:18:40;-0,025;0,007;18,5;17;0;16;5;14,8;15;14,5;45;35
337;Sw_1;Sw_1_3;55;33,97667;36;21,41833;30;8;2021;12:20:00;0,071;0,016;18,5;17;0;16;5;14,8;15;14,5;45;35
338;Sw_1;Sw_1_3;55;33,97667;36;21,41833;30;8;2021;13:12:47;-0,036;0,03;18,5;17;0;16;5;14,8;15;14,5;45;35
339;Sw_1;Sw_1_3;55;33,97667;36;21,41833;30;8;2021;13:14:00;0,005;0,014;18,5;17;0;16;5;14,8;15;14,5;45;35
370;Sw_1;Sw_1_3;55;33,97667;36;21,41833;10;10;2021;11:35:15;0,734;0,093;9,2;5,9;0;5,3;5;6,6;15;8,2;45;20
371;Sw_1;Sw_1_3;55;33,97667;36;21,41833;10;10;2021;11:35:15;0,001;0,006;9,2;5,9;0;5,3;5;6,6;15;8,2;45;20
372;Sw_1;Sw_1_3;55;33,97667;36;21,41833;10;10;2021;12:38:00;0,015;0,005;9,2;5,9;0;5,3;5;6,6;15;8,2;45;20
374;Sw_1;Sw_1_3;55;33,97667;36;21,41833;10;10;2021;13:36:00;-0,025;0,01;9,2;5,9;0;5,3;5;6,6;15;8,2;45;20
375;Sw_1;Sw_1_3;55;33,97667;36;21,41833;10;10;2021;13:36:00;-0,023;0,052;9,2;5,9;0;5,3;5;6,6;15;8,2;45;20
387;For_1;For_1_2;55;33,883;36;21,255;10;10;2021;17:01:00;-0,118;0,029;9,2;8;0;7;5;7,5;15;7,65;45;
388;For_1;For_1_2;55;33,883;36;21,255;10;10;2021;17:01:00;-0,041;0,014;9,2;8;0;7;5;7,5;15;7,66;45;
389;For_1;For_1_2;55;33,883;36;21,255;10;10;2021;17:01:00;-0,06;0,009;9,2;8;0;7;5;7,5;15;7,67;45;
390;For_1;For_1_1;55;33,861;36;21,261;10;10;2021;17:01:00;-0,066;0,015;9,2;8;0;7;5;7,5;15;7,68;45;
391;For_1;For_1_1;55;33,861;36;21,261;10;10;2021;17:01:00;-0,054;0,013;9,2;8;0;7;5;7,5;15;7,69;45;
405;Sw_1;Sw_1_3;55;33,97667;36;21,41833;6;11;2021;14:02:40;0,169;0;7,9;7;0;6,7;5;7;15;;45;12
406;Sw_1;Sw_1_3;55;33,97667;36;21,41833;6;11;2021;14:13:02;3,353;0,015;7,9;7;0;6,7;5;7;15;;45;12
407;Sw_1;Sw_1_3;55;33,97667;36;21,41833;6;11;2021;14:23:00;0,066;0;7,9;7;0;6,7;5;7;15;;45;12
408;Sw_1;Sw_1_3;55;33,97667;36;21,41833;6;11;2021;14:34:02;1,899;0,007;7,9;7;0;6,7;5;7;15;;45;12
415;For_1;For_1_2;55;33,883;36;21,255;6;11;2021;16:49:00;-0,159;0,003;7,9;7,5;0;7;5;7,9;15;;45;
416;For_1;For_1_2;55;33,883;36;21,255;6;11;2021;16:57:30;-0,13;0;7,9;7,5;0;7;5;7,9;15;;45;
417;For_1;For_1_2;55;33,883;36;21,255;6;11;2021;16:49:00;-0,104;0,011;7,9;7,5;0;7;5;7,9;15;;45;
430;Sw_1;Sw_1_3;55;33,97667;36;21,41833;9;1;2022;12:42:30;-0,001;0;-5,6;;0;-0,5;5;0,5;10;0,73;20;
431;Sw_1;Sw_1_3;55;33,97667;36;21,41833;9;1;2022;12:48:01;0,003;0;-5,6;;0;-0,5;5;0,5;10;0,73;20;
432;Sw_1;Sw_1_3;55;33,97667;36;21,41833;9;1;2022;12:55:00;0,002;0;-5,6;;0;-0,5;5;0,5;10;0,73;20;
433;Sw_1;Sw_1_3;55;33,97667;36;21,41833;9;1;2022;13:02:00;0,002;0;-5,6;;0;-0,5;5;0,5;10;0,73;20;
442;For_1;For_1_1;55;33,861;36;21,261;9;1;2022;15:11:30;-0,016;0;-5,6;;0;-1,5;5;-0,6;10;-0,2;20;
443;For_1;For_1_1;55;33,861;36;21,261;9;1;2022;15:20:00;-0,015;0;-5,6;;0;-1,5;5;-0,6;10;-0,2;20;
444;For_1;For_1_1;55;33,861;36;21,261;9;1;2022;15:28:30;-0,074;0,001;-5,6;;0;-1,5;5;-0,6;10;-0,2;20;
445;For_1;For_1_1;55;33,861;36;21,261;9;1;2022;15:37:00;-0,055;0;-5,6;;0;-1,5;5;-0,6;10;-0,2;20;
446;For_1;For_1_2;55;33,883;36;21,255;9;1;2022;15:51:30;-0,008;0;-5,6;;0;-2;5;-0,6;10;0,39;20;
447;For_1;For_1_2;55;33,883;36;21,255;9;1;2022;16:00:00;-0,008;0;-5,6;;0;-2;5;-0,6;10;0,39;20;
448;For_1;For_1_2;55;33,883;36;21,255;9;1;2022;16:08:40;-0,009;0;-5,6;;0;-2;5;-0,6;10;0,39;20;
449;For_1;For_1_2;55;33,883;36;21,255;9;1;2022;16:17:00;-0,008;0;-5,6;;0;-2;5;-0,6;10;0,39;20;
462;For_1;Sw_1_3;55;33,97667;36;21,41833;26;2;2022;13:56:40;0,006;0;1,8;;0;0;5;0,4;10;0,6;20;
463;For_1;Sw_1_3;55;33,97667;36;21,41833;26;2;2022;14:05:00;0,025;0;1,8;;0;0;5;0,4;10;0,6;20;
464;For_1;Sw_1_3;55;33,97667;36;21,41833;26;2;2022;14:13:30;0,029;0;1,8;;0;0;5;0,4;10;0,6;20;
465;For_1;Sw_1_3;55;33,97667;36;21,41833;26;2;2022;14:24:00;0,006;0;1,8;;0;0;5;0,4;10;0,6;20;
466;For_1;Sw_1_3;55;33,97667;36;21,41833;26;2;2022;14:34:30;0,045;0;1,8;;0;0;5;0,4;10;0,6;20;
467;For_1;Sw_1_3;55;33,97667;36;21,41833;26;2;2022;14:43:30;0,02;0;1,8;;0;0;5;0,4;10;0,6;20;
480;For_1;For_1_2;55;33,861;36;21,261;26;2;2022;17:27:30;-0,063;0;1,8;;0;-0,5;5;0,6;10;0,5;20;
481;For_1;For_1_2;55;33,861;36;21,261;26;2;2022;17:36:30;-0,046;0;1,8;;0;-0,5;5;0,6;10;0,5;20;
482;For_1;For_1_2;55;33,861;36;21,261;26;2;2022;17:44:30;-0,066;0;1,8;;0;-0,5;5;0,6;10;0,5;20;
483;For_1;For_1_2;55;33,861;36;21,261;26;2;2022;17:52:00;-0,052;0;1,8;;0;-0,5;5;0,6;10;0,5;20;
484;For_1;For_1_1;55;33,883;36;21,255;26;2;2022;18:06:30;-0,024;0;1,8;;0;-0,5;5;0,6;10;0,5;20;
485;For_1;For_1_1;55;33,883;36;21,255;26;2;2022;18:16:00;-0,015;0;1,8;;0;-0,5;5;0,6;10;0,5;20;
486;For_1;For_1_1;55;33,883;36;21,255;26;2;2022;18:26:15;-0,025;0;1,8;;0;-0,5;5;0,6;10;0,5;20;
487;For_1;For_1_1;55;33,883;36;21,255;26;2;2022;18:35:30;-0,016;0;1,8;;0;-0,5;5;0,6;10;0,5;20;
